id,long,lat,averageDistance,nbSpeakers
2608,-79.808962,8.859949,0.000000,2
562,-1.147504,35.302808,0.000000,2
2616,-58.188354,-26.174524,0.000000,2
2618,-4.014246,17.567559,0.000000,2
572,11.727022,48.117513,0.000000,2
574,2.229373,50.129458,475.690812,68546
584,2.293750,48.875240,0.000000,2
585,4.270878,45.565957,0.000000,2
2635,-2.992796,43.295974,0.000000,2
2641,3.073640,45.785357,0.000000,2
2650,-43.230726,-22.912387,0.000000,2
607,-40.942700,50.308668,0.000000,2
608,-2.213167,47.879474,0.000000,4
2657,4.113516,50.889441,0.000000,2
611,-30.139961,61.961954,2488.456798,171
619,6.143694,49.674882,0.000000,2
620,8.665009,55.432293,885.513494,3391
629,7.580369,45.101337,0.000000,2
637,-3.984948,5.308534,0.000000,2
648,-1.908753,41.866193,0.000000,2
2702,-3.028790,47.869373,0.000000,2
657,12.573501,41.292651,0.000000,3
662,-65.239430,-32.556360,0.000000,2
667,4.164281,50.420694,0.000000,5
671,-6.257820,53.288006,0.000000,2
2160,-1.314676,53.504469,0.000000,2
677,0.096919,35.941308,0.000000,3
678,-6.916355,35.714069,0.000000,3
681,-86.016133,35.756395,0.000000,3
2162,-46.191638,-23.532624,1.073774,2
688,5.387919,43.536050,0.000000,2
701,3.715656,48.345477,85.776369,9
708,4.609870,50.709990,0.000000,2
762,2.109373,47.480369,0.000000,3
764,1.643238,28.034750,0.000000,2
771,-0.952133,51.452327,0.000000,2
785,1.243022,34.894429,0.000000,2
789,-14.674933,24.022164,906.353435,3868
793,39.727485,30.012157,400.540070,6
804,-6.807426,33.983807,0.000000,2
805,-0.283077,49.684765,289.776052,5
2184,5.424338,51.423046,0.000000,2
822,7.799431,51.445504,0.000000,3
825,8.788335,45.787591,2.073105,2
827,2.347005,48.858851,0.000000,29
838,2.209119,46.226699,0.000000,2
840,3.385599,50.363364,0.204815,2
844,4.461461,36.080021,0.000000,3
848,28.221541,36.369050,0.000000,2
863,10.211820,36.717643,0.000000,2
870,-4.975382,34.060947,0.000000,2
873,1.643238,28.034750,0.000000,3
885,7.766707,50.317910,66.965135,81
2537,-58.479555,-34.708486,0.000000,2
890,-6.462096,54.412549,0.000000,2
904,-3.399648,51.519613,0.000000,2
910,-7.608193,33.561843,0.000000,2
912,-6.946550,33.932063,0.000000,2
920,-1.560268,43.483644,0.000000,2
928,3.591463,44.225377,212.543530,2836
931,-0.621683,49.340030,0.000000,2
934,-0.806681,48.583737,0.000000,3
939,12.573501,41.292651,0.000000,2
942,64.750229,35.194247,0.000000,3
945,3.021665,50.607760,0.000000,2
948,18.797011,43.346238,194.914441,666
956,0.180585,51.394139,0.000000,2
960,2.264053,32.401510,244.604145,3
970,2.008658,48.454010,0.000000,2
982,-122.342914,48.630619,0.000000,3
990,-2.952537,43.376491,0.000000,4
993,-59.295316,-29.727102,241.831756,9
999,4.748387,43.842167,0.000000,3
1006,1.643238,28.034750,0.000000,2
1017,2.293214,48.823634,0.000000,2
1018,2.627252,49.970641,149.947177,5686
1021,-35.312890,-7.515046,0.000000,2
1031,-74.192216,11.249532,0.000000,3
1047,13.254981,-8.993335,0.000000,2
1053,-64.161897,-31.381175,0.000000,2
1056,6.979914,50.948922,0.000000,2
1074,-0.838119,51.257130,0.000000,2
1078,-0.715556,44.828333,0.000000,2
1083,-1.734528,37.781919,148.155311,2
1086,13.583072,48.483343,742.201252,3
1090,1.859922,50.949235,0.000000,2
1116,-93.829697,41.567718,0.000000,2
1121,9.500387,45.304150,0.000000,4
1126,2.681698,48.519847,0.682966,6
1130,-4.975382,34.060947,0.000000,2
2578,-0.583708,38.971975,0.000000,2
2579,-0.577017,35.702340,0.000000,2
1151,-56.169543,-34.898648,0.000000,2
1166,2.942614,47.950683,0.000000,6
1182,-0.538128,44.971440,0.000000,3
1194,2.502664,48.677182,0.000000,2
1223,-5.353213,36.133630,0.000000,2
1224,-0.586176,44.863738,0.000000,3
1227,-57.618738,-25.306548,0.467741,2
1230,2.276521,48.922340,0.000000,4
1233,5.400326,43.286261,0.000000,2
1238,2.061101,48.849695,0.000000,2
1242,4.561138,44.760958,0.000000,3
2256,7.188859,43.636885,4.928694,2
1253,-51.708429,-20.776643,0.000000,2
1256,6.909673,46.432175,0.000000,2
1267,-46.599193,-23.634063,0.000000,2
1272,-57.842251,-34.449269,0.000000,2
1275,-57.975004,-34.918803,0.000000,3
1277,4.938849,51.973806,0.000000,4
1278,-46.340948,-23.956677,0.000000,2
1281,7.275705,43.705112,0.000000,2
1288,-56.042876,-28.558774,0.000000,2
1294,2.502664,48.677182,0.000000,8
1301,-4.975382,34.060947,0.000000,2
1328,-1.378531,53.862126,0.000000,2
1349,6.662265,43.227299,0.000000,2
1370,-64.768451,24.011686,885.769885,977
1381,5.571717,50.643195,0.000000,2
1384,-0.719730,44.884308,0.000000,4
1385,-86.285512,12.120933,0.000000,2
1389,2.312549,48.866318,0.000000,2
1416,15.008433,59.509439,0.000000,2
1427,-1.839241,52.401328,0.000000,2
1445,12.470594,45.692936,0.000000,3
1451,6.045028,33.090294,0.000000,2
1467,-0.069786,51.520018,0.000000,2
1468,3.729683,51.065323,0.000000,2
248,2.335200,50.715366,0.000000,3
1495,6.981916,53.175743,0.000000,3
1503,1.577790,39.004575,0.000000,4
1507,-43.029768,-21.273931,0.000000,2
1517,7.121872,46.959966,0.000000,2
1518,2.195059,44.385598,0.000000,2
1526,-61.048204,14.611375,0.000000,3
1537,12.573501,41.292651,0.000000,2
1538,1.643238,28.034750,0.000000,2
1544,7.208834,43.661818,0.000000,2
1551,-56.724767,-36.446587,5.676533,2
1557,-0.087436,51.489122,0.000000,2
1564,-3.578052,38.830382,0.000000,2
1565,-58.651290,-34.681742,0.000000,2
1566,-8.720692,41.354706,0.000000,2
1575,-3.200605,55.945630,0.000000,2
1583,-57.510878,-35.084350,0.000000,2
1585,7.036474,46.669256,0.000000,2
1587,2.371636,50.513221,0.000000,2
1597,4.603458,46.349292,16.598244,2
1605,-2.955226,40.392166,352.911978,62282
1606,-5.906633,34.044143,0.000000,2
1607,-4.712796,56.004786,0.000000,2
